EpochTime,181.feed_4958.count,181.feed_4958.pm1,181.feed_4958.pm10,181.feed_4958.pm2.5
1435681822,115550,8.3,8.3,8.3
1435681828,113650,8.4,11.4,10.2
1435681834,112550,8.5,8.7,8.6
1435681840,112100,8.2,8.6,8.6
1435681846,111850,8.3,8.4,8.4
1435681852,108550,8,8.2,8.1
1435681858,111350,8.4,8.8,8.8
1435681864,111950,8.2,8.2,8.2
1435681870,113150,8.5,8.9,8.8
1435681876,111200,8.1,8.5,8.5
1435681882,106050,7.6,7.6,7.6
1435681888,107500,7.8,7.8,7.8
1435681894,110500,8.1,8.3,8.3
1435681900,109550,8.3,8.5,8.5
1435681906,110300,8.2,8.4,8.4
1435681912,110450,8.1,8.2,8.2
1435681918,114650,8.5,8.5,8.5
1435681924,114500,8.5,8.5,8.5
1435681930,112050,8,8,8
1435681936,116000,8.4,8.5,8.5
1435681942,114850,8.4,8.6,8.6
1435681948,112000,8,8.7,8.5
1435681954,113950,8.2,8.3,8.3
1435681960,111350,8.3,8.4,8.4
1435681966,114850,8,8.1,8
1435681972,113450,8.1,10.2,9.2
1435681978,118350,8.6,8.6,8.6
1435681984,109050,8.1,15.3,8.9
1435681990,115050,8.8,20.6,9.3
1435681996,113750,8.4,8.4,8.4
1435682002,110650,8.1,8.2,8.2
1435682009,114600,8.3,10.4,8.9
1435682014,114650,8.3,9,8.9
1435682020,114900,8.4,20.6,8.8
1435682026,121850,8.7,9.1,9.1
1435682032,114050,8.5,8.9,8.9
1435682038,119150,9,9.2,9.2
1435682045,112500,8.5,19.7,9.5
1435682050,112600,8.5,8.6,8.6
1435682056,113800,8.2,8.2,8.2
1435682062,118850,9,9.4,9.3
1435682068,112700,8,8.1,8.1
1435682074,119900,8.7,11.2,10.3
1435682081,113350,8.3,11.1,9.4
1435682086,113650,8.6,8.6,8.6
1435682093,110950,8.1,10.4,8.8
1435682098,115500,8.4,8.4,8.4
1435682104,111850,8.2,8.3,8.3
1435682111,115150,8.3,13.3,10.1
1435682116,119850,8.7,10.1,9.3
1435682123,114050,8.3,14.4,10.5
